time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
747,40,3758,31.5,-9223372036854775808,700000,0
1746,40,3758,31.5,-9223372036854775808,700000,0
2760,40,3758,31.5,-9223372036854775808,700000,0
3790,40,3758,31.5,-9223372036854775808,633000,0
4796,40,3758,31.5,-9223372036854775808,633000,0
5796,40,3758,31.5,-9223372036854775808,633000,0
6796,40,3758,31.5,-9223372036854775808,633000,0
7801,40,3758,31.5,-9223372036854775808,633000,0
8802,40,3758,31.5,-9223372036854775808,633000,0
9853,40,3758,31.5,-9223372036854775808,648000,0
10846,40,3758,31.5,-9223372036854775808,648000,0
11854,40,3758,31.5,-9223372036854775808,648000,0
12848,40,3758,31.5,-9223372036854775808,648000,0
13892,40,3758,31.5,-9223372036854775808,648000,0
14943,40,3758,31.5,-9223372036854775808,648000,0
15950,40,3758,31.5,-9223372036854775808,628000,0
16949,40,3758,31.5,-9223372036854775808,628000,0
17949,40,3758,31.5,-9223372036854775808,628000,0
19001,40,3758,31.5,-9223372036854775808,628000,0
19991,40,3758,31.5,-9223372036854775808,628000,0
20993,40,3758,31.5,-9223372036854775808,628000,0
21989,40,3758,31.5,-9223372036854775808,599000,0
23002,40,3758,31.5,-9223372036854775808,599000,0
23995,40,3758,31.5,-9223372036854775808,599000,0
24994,40,3758,31.5,-9223372036854775808,599000,0
25993,40,3758,31.5,-9223372036854775808,599000,0
27002,40,3758,31.5,-9223372036854775808,599000,0
27997,39,3725,31.3,-9223372036854775808,656000,0
29042,39,3725,31.3,-9223372036854775808,656000,0
30044,39,3725,31.3,-9223372036854775808,656000,0
31096,39,3725,31.3,-9223372036854775808,656000,0
32144,39,3725,31.3,-9223372036854775808,656000,0
33142,39,3725,31.3,-9223372036854775808,656000,0
34139,39,3725,31.3,-9223372036854775808,654000,0
35143,39,3725,31.3,-9223372036854775808,654000,0
36145,39,3725,31.3,-9223372036854775808,654000,0
37143,39,3725,31.3,-9223372036854775808,654000,0
38202,39,3725,31.3,-9223372036854775808,654000,0
39245,39,3725,31.3,-9223372036854775808,654000,0
40307,39,3725,31.3,-9223372036854775808,1086000,0
41290,39,3725,31.3,-9223372036854775808,1086000,0
42296,39,3725,31.3,-9223372036854775808,1086000,0
43340,39,3725,31.3,-9223372036854775808,1086000,0
44345,39,3725,31.3,-9223372036854775808,1086000,0
45348,39,3725,31.3,-9223372036854775808,1086000,0
46349,39,3725,31.3,-9223372036854775808,629000,0
47349,39,3725,31.3,-9223372036854775808,629000,0
48391,39,3725,31.3,-9223372036854775808,629000,0
49399,39,3725,31.3,-9223372036854775808,629000,0
50391,39,3725,31.3,-9223372036854775808,629000,0
51393,39,3725,31.3,-9223372036854775808,629000,0
52394,39,3729,31.3,-9223372036854775808,625000,0
53395,39,3729,31.3,-9223372036854775808,625000,0
54390,39,3729,31.3,-9223372036854775808,625000,0
55396,39,3729,31.3,-9223372036854775808,625000,0
56452,39,3729,31.3,-9223372036854775808,625000,0
57444,39,3729,31.3,-9223372036854775808,625000,0
58453,39,3729,31.3,-9223372036854775808,625000,0
59449,39,3729,31.3,-9223372036854775808,625000,0
60505,39,3729,31.3,-9223372036854775808,625000,0
61491,39,3729,31.3,-9223372036854775808,625000,0
62497,39,3729,31.3,-9223372036854775808,625000,0
63502,39,3729,31.3,-9223372036854775808,625000,0
64551,39,3729,31.3,-9223372036854775808,601000,0
65544,39,3729,31.3,-9223372036854775808,601000,0
66540,39,3729,31.3,-9223372036854775808,601000,0
67549,39,3729,31.3,-9223372036854775808,601000,0
68603,39,3729,31.3,-9223372036854775808,601000,0
69588,39,3729,31.3,-9223372036854775808,601000,0
70596,39,3729,31.3,-9223372036854775808,598000,0
71647,39,3729,31.3,-9223372036854775808,598000,0
72652,39,3729,31.3,-9223372036854775808,598000,0
73651,39,3729,31.3,-9223372036854775808,598000,0
74643,39,3729,31.3,-9223372036854775808,598000,0
75657,39,3729,31.3,-9223372036854775808,598000,0
76645,39,3729,31.3,-9223372036854775808,599000,0
77655,39,3729,31.3,-9223372036854775808,599000,0
78649,39,3729,31.3,-9223372036854775808,599000,0
79717,39,3729,31.3,-9223372036854775808,599000,0
80639,39,3729,31.3,-9223372036854775808,599000,0
81692,39,3729,31.3,-9223372036854775808,599000,0
82690,39,3729,31.3,-9223372036854775808,1051000,0
83700,39,3729,31.3,-9223372036854775808,1051000,0
84690,39,3729,31.3,-9223372036854775808,1051000,0
85693,39,3729,31.3,-9223372036854775808,1051000,0
86690,39,3729,31.3,-9223372036854775808,1051000,0
87701,39,3729,31.3,-9223372036854775808,1051000,0
88691,39,3729,31.3,-9223372036854775808,651000,0
89751,39,3729,31.3,-9223372036854775808,651000,0
90740,39,3729,31.3,-9223372036854775808,651000,0
91748,39,3729,31.3,-9223372036854775808,651000,0
92748,39,3729,31.3,-9223372036854775808,651000,0
93757,39,3729,31.3,-9223372036854775808,651000,0
94790,39,3729,31.3,-9223372036854775808,562000,0
95796,39,3729,31.3,-9223372036854775808,562000,0
96792,39,3729,31.3,-9223372036854775808,562000,0
97791,39,3729,31.3,-9223372036854775808,562000,0
98803,39,3729,31.3,-9223372036854775808,562000,0
99851,39,3729,31.3,-9223372036854775808,562000,0
100892,39,3729,31.3,-9223372036854775808,701000,0
101898,39,3729,31.3,-9223372036854775808,701000,0
102948,39,3729,31.3,-9223372036854775808,701000,0
103991,39,3729,31.3,-9223372036854775808,701000,0
104995,39,3729,31.3,-9223372036854775808,701000,0
105992,39,3729,31.3,-9223372036854775808,701000,0
106990,39,3729,31.3,-9223372036854775808,858000,0
107990,39,3729,31.3,-9223372036854775808,858000,0
108994,39,3729,31.3,-9223372036854775808,858000,0
109990,39,3729,31.3,-9223372036854775808,858000,0
110990,39,3729,31.3,-9223372036854775808,858000,0
111992,39,3729,31.3,-9223372036854775808,858000,0
112991,39,3729,31.3,-9223372036854775808,596000,0
113995,39,3729,31.3,-9223372036854775808,596000,0
115049,39,3729,31.3,-9223372036854775808,596000,0
116043,39,3729,31.3,-9223372036854775808,596000,0
117099,39,3729,31.3,-9223372036854775808,596000,0
118090,39,3729,31.3,-9223372036854775808,596000,0
119091,39,3729,31.3,-9223372036854775808,609000,0
120139,39,3729,31.3,-9223372036854775808,609000,0
121139,39,3729,31.3,-9223372036854775808,609000,0
122143,39,3729,31.3,-9223372036854775808,609000,0
123193,39,3729,31.3,-9223372036854775808,609000,0
124190,39,3729,31.3,-9223372036854775808,669000,0
125242,39,3729,31.3,-9223372036854775808,669000,0
126246,39,3729,31.3,-9223372036854775808,669000,0
127243,39,3729,31.3,-9223372036854775808,669000,0
128249,39,3729,31.3,-9223372036854775808,669000,0
129245,39,3729,31.3,-9223372036854775808,669000,0
130299,39,3729,31.3,-9223372036854775808,589000,0
131292,39,3729,31.3,-9223372036854775808,589000,0
132292,39,3729,31.3,-9223372036854775808,589000,0
133352,39,3729,31.3,-9223372036854775808,589000,0
134341,39,3729,31.3,-9223372036854775808,589000,0
135346,39,3729,31.3,-9223372036854775808,589000,0
136342,39,3729,31.3,-9223372036854775808,553000,0
137348,39,3729,31.3,-9223372036854775808,553000,0
138348,39,3729,31.3,-9223372036854775808,553000,0
139356,39,3729,31.3,-9223372036854775808,553000,0
140393,39,3729,31.3,-9223372036854775808,553000,0
141397,39,3729,31.3,-9223372036854775808,553000,0
142393,39,3729,31.3,-9223372036854775808,590000,0
143441,39,3729,31.3,-9223372036854775808,590000,0
144443,39,3729,31.3,-9223372036854775808,590000,0
145446,39,3729,31.3,-9223372036854775808,590000,0
146450,39,3729,31.3,-9223372036854775808,590000,0
147440,39,3729,31.3,-9223372036854775808,590000,0
148452,39,3729,31.3,-9223372036854775808,1365000,0
149451,39,3729,31.3,-9223372036854775808,1365000,0
